Year,Row,Nr.,Name,Geboren,Aufnahme,Gestorben,Fachsektion,Link
1927,1,,Franz Boas,9. Juli 1858,,21. Dez. 1942,Anthropologie,/wiki/Franz_Boas
1927,2,,Georg Bonne,12. Aug. 1859,,1. Mai 1945,Anthropologie,/wiki/Georg_Bonne
1927,3,,Shoji Dohi,,,,Dermatologie,
1927,4,,Friedrich Emich,5. Sep. 1860,,22. Jan. 1940,Chemie,/wiki/Friedrich_Emich
1927,5,,Abraham Flexner,13. Nov. 1866,,21. Sep. 1959,Innere Medizin,/wiki/Abraham_Flexner
1927,6,,Simon Flexner,25. März 1863,,2. Mai 1946,Pathologie,/wiki/Simon_Flexner
1927,7,,Karl Grouven,21. Jan. 1872,,21. Juni 1936,Dermatologie,/wiki/Karl_Grouven
1927,8,,Michael Haltenberger,,,,Geographie,
1927,9,,Hata Sahachirō,23. März 1873,,22. Nov. 1938,Pathologie,/wiki/Hata_Sahachir%C5%8D
1927,10,,Gustav Hertz,22. Juli 1887,,30. Okt. 1975,Physik,/wiki/Gustav_Hertz
1927,11,,Friedrich Härtel,1877,,1940,Chirurgie,/wiki/Friedrich_H%C3%A4rtel
1927,12,,Tatsukichi Irisawa,1865,,1946,Innere Medizin,
1927,13,,Kitasato Shibasaburō,29. Jan. 1853,,13. Juni 1931,Mikrobiologie und Immunologie,/wiki/Kitasato_Shibasabur%C5%8D
1927,14,,George Frederick Kunz,29. Sep. 1856,,29. Juni 1932,Mikrobiologie und Immunologie,/wiki/George_Frederick_Kunz
1927,15,,Karl Landsteiner,14. Juni 1868,,26. Juni 1943,Pathologie,/wiki/Karl_Landsteiner
1927,16,,Adolf Meyer,13. Sep. 1866,,17. März 1950,Wissenschafts- und Medizingeschichte,/wiki/Adolf_Meyer_(Mediziner)
1927,17,,Hayashi Miyake,,,,Chirurgie,
1927,18,,Noguchi Hideyo,9. Nov. 1876,,21. Mai 1928,Pathologie,/wiki/Noguchi_Hideyo
1927,19,,Alexander Paldrock,,,,Dermatologie,
1927,20,,Johannes Petersen,1860,,1928,Zoologie,
1927,21,,Richard Pfeiffer,27. März 1858,,15. Sep. 1945,Mikrobiologie und Immunologie,/wiki/Richard_Pfeiffer_(Mediziner)
1927,22,,Methodi Popoff,1881,,1954,Botanik,
1927,23,,Georg Prange,1. Jan. 1885,,3. Feb. 1941,Mathematik,/wiki/Georg_Prange
1927,24,,Julius Ruska,9. Feb. 1867,,11. Feb. 1949,Mathematik,/wiki/Julius_Ruska
1927,25,,Aihiko Sata,1871,,1950,Innere Medizin,
1927,26,,Walter Schultz,1877 oder 1894,,1979,Innere Medizin,
1927,27,,Shiga Kiyoshi,7. Feb. 1871,,25. Jan. 1957,Pathologie,/wiki/Shiga_Kiyoshi
1927,28,,Wolfgang Soergel,28. Jan. 1887,,26. Juli 1946,Geologie und Paläontologie,/wiki/Wolfgang_Soergel_(Pal%C3%A4ontologe)
1927,29,,Hermann Thoms,20. März 1859,,28. Nov. 1931,Physiologie,/wiki/Hermann_Thoms
1927,30,,Otto Walkhoff,23. Apr. 1860,,8. Juni 1934,Stomatologie,/wiki/Otto_Walkhoff
1927,31,,Harry Gideon Wells,1875,,1943,Pathologie,
1927,32,,Theodor von Fellenberg,1881,,1962,Chemie,/wiki/Theodor_von_Fellenberg
1928,0,,Alexei Nikolajewitsch Bach,17. März 1857,,13. Mai 1946,Biochemie und Biophysik,/wiki/Alexei_Nikolajewitsch_Bach
1928,1,,Wilhelm Brünings,31. Jan. 1876,,3. Okt. 1958,Oto-Rhino-Laryngologie,/wiki/Wilhelm_Br%C3%BCnings
1928,2,,Fritz Goebel,3. Juni 1888,,1. Sep. 1950,Pädiatrie,/wiki/Fritz_Goebel_(Mediziner)
1928,3,,Emil Gotschlich,28. März 1870,,19. Dez. 1949,Mikrobiologie und Immunologie,/wiki/Emil_Gotschlich
1928,4,,Markus Guggenheim,24. Feb. 1885,,3. Nov. 1970,Biochemie und Biophysik,/wiki/Markus_Guggenheim
1928,5,,Wladimir Sergejewitsch Gulewitsch,6. Nov. 1867,,6. Sep. 1933,Biochemie und Biophysik,/wiki/Wladimir_Sergejewitsch_Gulewitsch
1928,6,,Thore Gustaf Halle,25. Sep. 1884,,12. Mai 1964,"Mineralogie, Kristallographie und Petrologie",/wiki/Thore_Gustaf_Halle
